,adult,backdrop_path,id,original_language,original_title,popularity,poster_path,release_date,title,vote_average,vote_count
28,FALSE,/uBZQOYZLIU9dBmd62fdzBAoropu.jpg,704264,en,Primal: Tales of Savagery,17.589,/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,11/21/2019,Primal: Tales of Savagery,8.42,307
29,FALSE,/uPYa165sraN2c8gZBM9C47g3JoU.jpg,311,en,Once Upon a Time in America,75.32,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,5/23/1984,Once Upon a Time in America,8.418,5226
30,FALSE,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,696374,en,Gabriel's Inferno,17.664,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,5/29/2020,Gabriel's Inferno,8.418,2402
31,FALSE,/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg,120,en,The Lord of the Rings: The Fellowship of the Ring,168.1,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,12/18/2001,The Lord of the Rings: The Fellowship of the Ring,8.414,24548
32,FALSE,/l5K9elugftlcyIHHm4nylvsn26X.jpg,255709,ko,소원,49.647,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,10/2/2013,Hope,8.412,703
33,FALSE,/xqaN2WYQclQlqvKvsOcNgOx2vRn.jpg,4935,ja,ハウルの動く城,175.107,/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,9/9/2004,Howl's Moving Castle,8.4,9570
34,FALSE,/b9YkKJcW3pPaXgMZu9uoT7v9yRB.jpg,324857,en,Spider-Man: Into the Spider-Verse,113.099,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,12/6/2018,Spider-Man: Into the Spider-Verse,8.404,15176
35,FALSE,/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg,724089,en,Gabriel's Inferno: Part II,15.237,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,7/31/2020,Gabriel's Inferno: Part II,8.398,1507
36,FALSE,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,40096,pt,O Auto da Compadecida,14.981,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg,9/15/2000,A Dog's Will,8.397,1070
37,FALSE,/zcc0My3G4SYR72VuEYHNcUWkkW0.jpg,121,en,The Lord of the Rings: The Two Towers,104.816,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,12/18/2002,The Lord of the Rings: The Two Towers,8.397,21339
38,FALSE,/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg,568332,en,Taylor Swift: Reputation Stadium Tour,31.608,/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg,12/31/2018,Taylor Swift: Reputation Stadium Tour,8.395,370
39,FALSE,/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg,14537,ja,切腹,42.461,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,9/15/1962,Harakiri,8.391,949
40,FALSE,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg,1891,en,The Empire Strikes Back,50.601,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,5/20/1980,The Empire Strikes Back,8.391,16595
41,FALSE,/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,620249,zh,罗小黑战记,45.701,/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,8/27/2019,The Legend of Hei,8.39,347
42,FALSE,/wVJG3u5Ru9tInxYiTCrJr4MpJ7Z.jpg,1160164,en,TAYLOR SWIFT | THE ERAS TOUR,69.861,/jf3YO8hOqGHCupsREf5qymYq1n.jpg,10/13/2023,TAYLOR SWIFT | THE ERAS TOUR,8.385,353
43,FALSE,/dVr11o9or7AS8AMPfwjSpEU83iU.jpg,423,en,The Pianist,61.166,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,9/17/2002,The Pianist,8.385,8947
44,FALSE,/x9jRnHZlmApkYFMz2mc1E0cfTz9.jpg,244786,en,Whiplash,77.091,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,10/10/2014,Whiplash,8.382,14740
45,FALSE,/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg,761053,en,Gabriel's Inferno: Part III,38.148,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,11/19/2020,Gabriel's Inferno: Part III,8.379,1047
46,FALSE,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg,378064,ja,映画 聲の形,53.758,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,9/17/2016,A Silent Voice: The Movie,8.4,3832
47,FALSE,/dYjZ27hDw2QFaEIfzbNGwW0IkV9.jpg,807,en,Se7en,154.9,/6yoghtyTpznpBik8EngEmJskVUO.jpg,9/22/1995,Se7en,8.374,20530
48,FALSE,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,27205,en,Inception,87.463,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,7/15/2010,Inception,8.369,35980
49,FALSE,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,569094,en,Spider-Man: Across the Spider-Verse,226.841,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,5/31/2023,Spider-Man: Across the Spider-Verse,8.366,6460
50,FALSE,/8aEe01VfGtYG2dFy9V5MqyyNPlh.jpg,567,en,Rear Window,39.632,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,8/1/1954,Rear Window,8.354,6311
51,FALSE,/aViJxMtIxoL3IkHCauYmFv0oCXh.jpg,274,en,The Silence of the Lambs,25.574,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,2/14/1991,The Silence of the Lambs,8.349,15899
52,FALSE,/6qHI1IYj7QlLSCwHRzkL62X175s.jpg,73,en,American History X,75.98,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,7/1/1998,American History X,8.346,11309
53,FALSE,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,128,ja,もののけ姫,97.347,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,7/12/1997,Princess Mononoke,8.338,7768
54,FALSE,/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg,92321,ja,蛍火の杜へ,0.034,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,9/17/2011,Hotarubi no Mori e,8.3,1081
55,FALSE,/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg,820067,ja,映画 五等分の花嫁,46.348,/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,5/20/2022,The Quintessential Quintuplets Movie,8.323,364
56,FALSE,/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg,914,en,The Great Dictator,63.173,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,10/15/1940,The Great Dictator,8.321,3265
57,FALSE,/gSCT6oP2Sbm71naW28Lh7afcMgY.jpg,12493,ja,天国と地獄,34.037,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,3/1/1963,High and Low,8.319,849
58,FALSE,/hxSB02ksqnkXY4hPGAXqgO2fL01.jpg,105,en,Back to the Future,117.251,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,7/3/1985,Back to the Future,8.318,19467
59,FALSE,/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg,644479,es,Dedicada A Mi Ex,11.21,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,11/1/2019,Dedicated to my ex,8.319,497
60,FALSE,/tJRToZBfb52NhF6SMGAe0bWQc6z.jpg,207,en,Dead Poets Society,69.888,/hmGAF5NDoYB6S39UONevjHCESOI.jpg,6/2/1989,Dead Poets Society,8.314,10925
61,FALSE,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,47.413,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,7/19/1997,Neon Genesis Evangelion: The End of Evangelion,8.315,1513
62,FALSE,/yn6DvHSEXE8Ao3QaNlELpqeSOqx.jpg,3782,ja,生きる,57.242,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,10/9/1952,Ikiru,8.3,1085
63,FALSE,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,599,en,Sunset Boulevard,22.675,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,8/10/1950,Sunset Boulevard,8.313,2494
64,FALSE,/jynfI114q3kOAbIiVjVfFFmttU2.jpg,101,en,Léon: The Professional,91.813,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,9/14/1994,Léon: The Professional,8.308,14432
65,FALSE,/A1Larywbw79kZQqkvCEiPHJqdLN.jpg,10494,ja,PERFECT BLUE,63.634,/bee6ZQVaSAUhlBinsP9In8x8vO1.jpg,2/28/1998,Perfect Blue,8.3,2514
66,FALSE,/8KJMOKyl9rpgb9ELEwhfBMIaTHw.jpg,1139087,en,Once Upon a Studio,50.133,/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,9/24/2023,Once Upon a Studio,8.305,333
67,FALSE,/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,3082,en,Modern Times,25.17,/uEMekS25hwXrCJOZZ3NKMGcAFJo.jpg,2/5/1936,Modern Times,8.296,3596
68,FALSE,/26SUDI2iKhZTIKcU4ZzezTH1G15.jpg,335,it,C'era una volta il West,92.975,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,12/21/1968,Once Upon a Time in the West,8.29,4199
69,FALSE,/n0Cju2Eu3VyrUFl32thblHFWznA.jpg,901,en,City Lights,27.866,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,2/1/1931,City Lights,8.287,2092
70,FALSE,/f72GEQF2lKsdmEULSI9bWCbQylH.jpg,29259,fr,Le Trou,15.759,/8kxtOm7D992iAaOzUoWmNQwbXjs.jpg,3/18/1960,Le Trou,8.285,449
71,FALSE,/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,28,en,Apocalypse Now,59.899,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,8/15/1979,Apocalypse Now,8.285,7991
72,FALSE,/bGksau9GGu0uJ8DJQ8DYc9JW5LM.jpg,77338,fr,Intouchables,54.001,/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,11/2/2011,The Intouchables,8.279,16901
73,FALSE,/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg,1585,en,It's a Wonderful Life,74.209,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,12/20/1946,It's a Wonderful Life,8.273,4173
74,FALSE,/354kfjVb96mtFALMhBE6jzHGiA2.jpg,975,en,Paths of Glory,36.823,/3O10X1bVSasrS2NQ186s2tlKvqN.jpg,10/25/1957,Paths of Glory,8.271,2801
75,FALSE,/jGKQks1bd3rmltqaXbEbS9DnsPv.jpg,995133,en,"The Boy, the Mole, the Fox and the Horse",65.561,/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg,12/25/2022,"The Boy, the Mole, the Fox and the Horse",8.269,515
76,FALSE,/27ZkYMWynuK2qiDP6awc3MsCaOs.jpg,527641,en,Five Feet Apart,64.016,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,3/14/2019,Five Feet Apart,8.3,5479
77,FALSE,/4YbHir4Ka4kG7WOdh0anXv1iT8s.jpg,637920,tr,7. Koğuştaki Mucize,43.654,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,10/10/2019,Miracle in Cell No. 7,8.266,4330
78,FALSE,/u1wHUA0R48FH4WV3sGqjwx3aNZm.jpg,632632,ja,映画 ギヴン,28.286,/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg,8/22/2020,Given,8.264,377
79,FALSE,/xGzcusHWxLPvRYSBMeOJOVkdJbj.jpg,25237,ru,Иди и смотри,31.135,/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,10/17/1985,Come and See,8.26,1411
80,FALSE,/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg,652837,ja,ジョゼと虎と魚たち,41.73,/xAbSLi61npWyVs5M0yxin3dKcGO.jpg,12/25/2020,"Josee, the Tiger and the Fish",8.261,435
81,FALSE,/88J6waYVTta8Qz3iX3qUeWNA5d5.jpg,447362,en,Life in a Year,60.947,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,11/27/2020,Life in a Year,8.3,1796
82,FALSE,/6rmb35g7XoMCMQtnbH0rUecFZlV.jpg,10376,it,La leggenda del pianista sull'oceano,46.627,/4EKnIjT1IGGFyplaW11lTvXrzI0.jpg,10/28/1998,The Legend of 1900,8.262,2204
